name,face,type_line,subtype_count,subtypes,set,rarity,scryfall_uri
"Abomination, World Ravager","Abomination, World Ravager",Legendary Creature — Gamma Berserker Villain,3,"Gamma, Berserker, Villain",msc,rare,https://scryfall.com/card/msc/47/abomination-world-ravager?utm_source=api
Advance Scout,Advance Scout,Creature — Human Soldier Scout,3,"Human, Soldier, Scout",tmp,common,https://scryfall.com/card/tmp/1/advance-scout?utm_source=api
"Adéwalé, Breaker of Chains","Adéwalé, Breaker of Chains",Legendary Creature — Human Assassin Pirate,3,"Human, Assassin, Pirate",acr,uncommon,https://scryfall.com/card/acr/44/ad%C3%A9wal%C3%A9-breaker-of-chains?utm_source=api
"Aerith, Last Ancient","Aerith, Last Ancient",Legendary Creature — Human Cleric Druid,3,"Human, Cleric, Druid",fic,rare,https://scryfall.com/card/fic/76/aerith-last-ancient?utm_source=api
Aether Herder,Aether Herder,Creature — Elf Artificer Druid,3,"Elf, Artificer, Druid",aer,common,https://scryfall.com/card/aer/102/aether-herder?utm_source=api
Affa Protector,Affa Protector,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",ogw,common,https://scryfall.com/card/ogw/14/affa-protector?utm_source=api
Agadeem Occultist,Agadeem Occultist,Creature — Human Shaman Ally,3,"Human, Shaman, Ally",wwk,rare,https://scryfall.com/card/wwk/48/agadeem-occultist?utm_source=api
"Agent 13, Sharon Carter","Agent 13, Sharon Carter",Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,uncommon,https://scryfall.com/card/msh/1/agent-13-sharon-carter?utm_source=api
Agent Maria Hill,Agent Maria Hill,Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,uncommon,https://scryfall.com/card/msh/2/agent-maria-hill?utm_source=api
Agent Phil Coulson,Agent Phil Coulson,Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,rare,https://scryfall.com/card/msh/4/agent-phil-coulson?utm_source=api
Agent Venom,Agent Venom,Legendary Creature — Symbiote Soldier Hero,3,"Symbiote, Soldier, Hero",spm,rare,https://scryfall.com/card/spm/49/agent-venom?utm_source=api
Agent of Atlas,Agent of Atlas,Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,common,https://scryfall.com/card/msh/3/agent-of-atlas?utm_source=api
Agents of HYDRA,Agents of HYDRA,Creature — Human Spy Villain,3,"Human, Spy, Villain",msh,common,https://scryfall.com/card/msh/85/agents-of-hydra?utm_source=api
Agents of S.H.I.E.L.D.,Agents of S.H.I.E.L.D.,Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,common,https://scryfall.com/card/msh/5/agents-of-shield?utm_source=api
Ahn-Crop Invader,Ahn-Crop Invader,Creature — Zombie Minotaur Warrior,3,"Zombie, Minotaur, Warrior",war,common,https://scryfall.com/card/war/113/ahn-crop-invader?utm_source=api
"Akiri, Line-Slinger","Akiri, Line-Slinger",Legendary Creature — Kor Soldier Ally,3,"Kor, Soldier, Ally",c16,rare,https://scryfall.com/card/c16/26/akiri-line-slinger?utm_source=api
Akki Underminer,Akki Underminer,Creature — Goblin Rogue Shaman,3,"Goblin, Rogue, Shaman",chk,uncommon,https://scryfall.com/card/chk/155/akki-underminer?utm_source=api
Akoum Battlesinger,Akoum Battlesinger,Creature — Human Berserker Ally,3,"Human, Berserker, Ally",wwk,common,https://scryfall.com/card/wwk/71/akoum-battlesinger?utm_source=api
Akoum Flameseeker,Akoum Flameseeker,Creature — Human Shaman Ally,3,"Human, Shaman, Ally",ogw,common,https://scryfall.com/card/ogw/101/akoum-flameseeker?utm_source=api
Akul the Unrepentant,Akul the Unrepentant,Legendary Creature — Scorpion Dragon Rogue,3,"Scorpion, Dragon, Rogue",otj,rare,https://scryfall.com/card/otj/189/akul-the-unrepentant?utm_source=api
Al Bhed Salvagers,Al Bhed Salvagers,Creature — Human Artificer Warrior,3,"Human, Artificer, Warrior",fin,uncommon,https://scryfall.com/card/fin/88/al-bhed-salvagers?utm_source=api
"Alex Wilder, Runaway","Alex Wilder, Runaway",Legendary Creature — Human Hero Villain,3,"Human, Hero, Villain",msc,uncommon,https://scryfall.com/card/msc/677/alex-wilder-runaway?utm_source=api
"Alora, Cheerful Assassin","Alora, Cheerful Assassin",Legendary Creature — Halfling Rogue Assassin,3,"Halfling, Rogue, Assassin",hbg,uncommon,https://scryfall.com/card/hbg/5b/alora-cheerful-assassin?utm_source=api
"Alora, Cheerful Scout","Alora, Cheerful Scout",Legendary Creature — Halfling Rogue Scout,3,"Halfling, Rogue, Scout",hbg,uncommon,https://scryfall.com/card/hbg/5g/alora-cheerful-scout?utm_source=api
Amazing Spider-Girl,Amazing Spider-Girl,Legendary Creature — Spider Human Hero,3,"Spider, Human, Hero",msc,rare,https://scryfall.com/card/msc/583/amazing-spider-girl?utm_source=api
Ambassador Blorpityblorpboop,Ambassador Blorpityblorpboop,Legendary Creature — Alien Advisor Guest,3,"Alien, Advisor, Guest",unf,uncommon,https://scryfall.com/card/unf/161/ambassador-blorpityblorpboop?utm_source=api
Ammit Eternal,Ammit Eternal,Creature — Zombie Crocodile Demon,3,"Zombie, Crocodile, Demon",hou,rare,https://scryfall.com/card/hou/57/ammit-eternal?utm_source=api
Amrou Scout,Amrou Scout,Creature — Kithkin Rebel Scout,3,"Kithkin, Rebel, Scout",tsr,common,https://scryfall.com/card/tsr/1/amrou-scout?utm_source=api
Angelfire Crusader,Angelfire Crusader,Creature — Human Soldier Knight,3,"Human, Soldier, Knight",apc,common,https://scryfall.com/card/apc/1/angelfire-crusader?utm_source=api
"Ant-Man, Colony Commander","Ant-Man, Colony Commander",Legendary Creature — Human Rogue Hero,3,"Human, Rogue, Hero",msh,uncommon,https://scryfall.com/card/msh/201/ant-man-colony-commander?utm_source=api
"Ant-Man, Elusive Avenger","Ant-Man, Elusive Avenger",Legendary Creature — Human Rogue Hero,3,"Human, Rogue, Hero",msc,rare,https://scryfall.com/card/msc/73/ant-man-elusive-avenger?utm_source=api
"Ant-Man, Reformed Rogue","Ant-Man, Reformed Rogue",Legendary Creature — Human Rogue Hero,3,"Human, Rogue, Hero",msc,uncommon,https://scryfall.com/card/msc/739/ant-man-reformed-rogue?utm_source=api
Anurid Murkdiver,Anurid Murkdiver,Creature — Zombie Frog Beast,3,"Zombie, Frog, Beast",ons,common,https://scryfall.com/card/ons/124/anurid-murkdiver?utm_source=api
Apprentice Sorcerer,Apprentice Sorcerer,Creature — Human Wizard Sorcerer,3,"Human, Wizard, Sorcerer",p02,uncommon,https://scryfall.com/card/p02/32/apprentice-sorcerer?utm_source=api
"Arachne, Psionic Weaver","Arachne, Psionic Weaver",Legendary Creature — Spider Human Hero,3,"Spider, Human, Hero",spm,rare,https://scryfall.com/card/spm/2/arachne-psionic-weaver?utm_source=api
"Aragorn and Arwen, Wed","Aragorn and Arwen, Wed",Legendary Creature — Human Elf Noble,3,"Human, Elf, Noble",ltr,mythic,https://scryfall.com/card/ltr/287/aragorn-and-arwen-wed?utm_source=api
"Araña, Heart of the Spider","Araña, Heart of the Spider",Legendary Creature — Spider Human Hero,3,"Spider, Human, Hero",spm,rare,https://scryfall.com/card/spm/123/ara%C3%B1a-heart-of-the-spider?utm_source=api
Architect of the Untamed,Architect of the Untamed,Creature — Elf Artificer Druid,3,"Elf, Artificer, Druid",kld,rare,https://scryfall.com/card/kld/143/architect-of-the-untamed?utm_source=api
Arcus Acolyte,Arcus Acolyte,Creature — Human Cleric Archer,3,"Human, Cleric, Archer",mh2,uncommon,https://scryfall.com/card/mh2/185/arcus-acolyte?utm_source=api
"Ardyn, the Usurper","Ardyn, the Usurper",Legendary Creature — Elder Human Noble,3,"Elder, Human, Noble",fin,rare,https://scryfall.com/card/fin/89/ardyn-the-usurper?utm_source=api
"Ares, God of War","Ares, God of War",Legendary Creature — God Warrior Villain,3,"God, Warrior, Villain",msh,rare,https://scryfall.com/card/msh/202/ares-god-of-war?utm_source=api
Argivian Phalanx,Argivian Phalanx,Creature — Human Kor Soldier,3,"Human, Kor, Soldier",dmu,common,https://scryfall.com/card/dmu/5/argivian-phalanx?utm_source=api
"Armaggon, Future Shark","Armaggon, Future Shark",Legendary Creature — Shark Horror Mutant,3,"Shark, Horror, Mutant",tmt,rare,https://scryfall.com/card/tmt/58/armaggon-future-shark?utm_source=api
Ascendant Evincar,Ascendant Evincar,Legendary Creature — Phyrexian Vampire Noble,3,"Phyrexian, Vampire, Noble",hop,rare,https://scryfall.com/card/hop/17/ascendant-evincar?utm_source=api
"Ashe, Princess of Dalmasca","Ashe, Princess of Dalmasca",Legendary Creature — Human Rebel Noble,3,"Human, Rebel, Noble",fin,uncommon,https://scryfall.com/card/fin/7/ashe-princess-of-dalmasca?utm_source=api
Assembled Ensemble,Assembled Ensemble,Artifact Creature — Clown Robot Bard,3,"Clown, Robot, Bard",unf,uncommon,https://scryfall.com/card/unf/3/assembled-ensemble?utm_source=api
"Astarion, the Decadent","Astarion, the Decadent",Legendary Creature — Vampire Elf Rogue,3,"Vampire, Elf, Rogue",clb,rare,https://scryfall.com/card/clb/265/astarion-the-decadent?utm_source=api
Astonishing Spider-Man,Astonishing Spider-Man,Legendary Creature — Spider Human Hero,3,"Spider, Human, Hero",msc,rare,https://scryfall.com/card/msc/740/astonishing-spider-man?utm_source=api
Atalan Jackal,Atalan Jackal,Creature — Human Tyranid Scout,3,"Human, Tyranid, Scout",40k,rare,https://scryfall.com/card/40k/105/atalan-jackal?utm_source=api
"Atraxa, Praetors' Voice","Atraxa, Praetors' Voice",Legendary Creature — Phyrexian Angel Horror,3,"Phyrexian, Angel, Horror",2xm,mythic,https://scryfall.com/card/2xm/190/atraxa-praetors-voice?utm_source=api
"Attuma, Atlantean Warlord","Attuma, Atlantean Warlord",Legendary Creature — Merfolk Warrior Villain,3,"Merfolk, Warrior, Villain",msh,uncommon,https://scryfall.com/card/msh/47/attuma-atlantean-warlord?utm_source=api
Audacious Knuckleblade,Audacious Knuckleblade,Creature — Ogre Warrior Wizard,3,"Ogre, Warrior, Wizard",ytdm,rare,https://scryfall.com/card/ytdm/18/audacious-knuckleblade?utm_source=api
"Auron, Venerated Guardian","Auron, Venerated Guardian",Legendary Creature — Human Spirit Samurai,3,"Human, Spirit, Samurai",fic,rare,https://scryfall.com/card/fic/10/auron-venerated-guardian?utm_source=api
Autumn Willow and Baron Sengir,Autumn Willow and Baron Sengir,Legendary Creature — Avatar Vampire Noble,3,"Avatar, Vampire, Noble",unk,rare,https://scryfall.com/card/unk/RZ06b/autumn-willow-and-baron-sengir?utm_source=api
"Avatar Aang // Aang, Master of Elements",Avatar Aang,Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tla,mythic,https://scryfall.com/card/tla/207/avatar-aang-aang-master-of-elements?utm_source=api
Avatar Enthusiasts,Avatar Enthusiasts,Creature — Human Peasant Ally,3,"Human, Peasant, Ally",tla,common,https://scryfall.com/card/tla/11/avatar-enthusiasts?utm_source=api
Aven Archer,Aven Archer,Creature — Bird Soldier Archer,3,"Bird, Soldier, Archer",ody,uncommon,https://scryfall.com/card/ody/6/aven-archer?utm_source=api
Aven Eternal,Aven Eternal,Creature — Zombie Bird Warrior,3,"Zombie, Bird, Warrior",war,common,https://scryfall.com/card/war/42/aven-eternal?utm_source=api
Aven Riftwatcher,Aven Riftwatcher,Creature — Bird Rebel Soldier,3,"Bird, Rebel, Soldier",tsr,common,https://scryfall.com/card/tsr/6/aven-riftwatcher?utm_source=api
Aven Windreader,Aven Windreader,Creature — Bird Soldier Wizard,3,"Bird, Soldier, Wizard",10e,common,https://scryfall.com/card/10e/69/aven-windreader?utm_source=api
"Ayara, Widow of the Realm // Ayara, Furnace Queen","Ayara, Furnace Queen",Legendary Creature — Phyrexian Elf Noble,3,"Phyrexian, Elf, Noble",mom,rare,https://scryfall.com/card/mom/90/ayara-widow-of-the-realm-ayara-furnace-queen?utm_source=api
"Azula, Cunning Usurper","Azula, Cunning Usurper",Legendary Creature — Human Noble Rogue,3,"Human, Noble, Rogue",tla,rare,https://scryfall.com/card/tla/208/azula-cunning-usurper?utm_source=api
Bala Ged Thief,Bala Ged Thief,Creature — Human Rogue Ally,3,"Human, Rogue, Ally",zen,rare,https://scryfall.com/card/zen/79/bala-ged-thief?utm_source=api
Balduvian Shaman,Balduvian Shaman,Creature — Human Cleric Shaman,3,"Human, Cleric, Shaman",ice,common,https://scryfall.com/card/ice/59/balduvian-shaman?utm_source=api
Ballista Watcher // Ballista Wielder,Ballista Watcher,Creature — Human Soldier Werewolf,3,"Human, Soldier, Werewolf",vow,uncommon,https://scryfall.com/card/vow/143/ballista-watcher-ballista-wielder?utm_source=api
Baneblade Scoundrel // Baneclaw Marauder,Baneblade Scoundrel,Creature — Human Rogue Werewolf,3,"Human, Rogue, Werewolf",mid,uncommon,https://scryfall.com/card/mid/85/baneblade-scoundrel-baneclaw-marauder?utm_source=api
"Banon, the Returners' Leader","Banon, the Returners' Leader",Legendary Creature — Human Cleric Rebel,3,"Human, Cleric, Rebel",fic,rare,https://scryfall.com/card/fic/78/banon-the-returners-leader?utm_source=api
Barbarian General,Barbarian General,Creature — Human Barbarian Soldier,3,"Human, Barbarian, Soldier",ptk,uncommon,https://scryfall.com/card/ptk/100/barbarian-general?utm_source=api
Barbarian Horde,Barbarian Horde,Creature — Human Barbarian Soldier,3,"Human, Barbarian, Soldier",ptk,common,https://scryfall.com/card/ptk/101/barbarian-horde?utm_source=api
Barbarian Outcast,Barbarian Outcast,Creature — Human Barbarian Beast,3,"Human, Barbarian, Beast",tor,common,https://scryfall.com/card/tor/92/barbarian-outcast?utm_source=api
Baron Helmut Zemo,Baron Helmut Zemo,Legendary Creature — Human Noble Villain,3,"Human, Noble, Villain",msh,rare,https://scryfall.com/card/msh/87/baron-helmut-zemo?utm_source=api
"Baxter, Fly in the Ointment","Baxter, Fly in the Ointment",Legendary Creature — Insect Mutant Scientist,3,"Insect, Mutant, Scientist",tmc,rare,https://scryfall.com/card/tmc/10/baxter-fly-in-the-ointment?utm_source=api
Beast Walkers,Beast Walkers,Creature — Human Beast Soldier,3,"Human, Beast, Soldier",hml,rare,https://scryfall.com/card/hml/6/beast-walkers?utm_source=api
"Beast, Erudite Aerialist","Beast, Erudite Aerialist",Legendary Creature — Mutant Scientist Hero,3,"Mutant, Scientist, Hero",msh,uncommon,https://scryfall.com/card/msh/206/beast-erudite-aerialist?utm_source=api
Beastcaller Savant,Beastcaller Savant,Creature — Elf Shaman Ally,3,"Elf, Shaman, Ally",bfz,rare,https://scryfall.com/card/bfz/170/beastcaller-savant?utm_source=api
Bebop & Rocksteady,Bebop & Rocksteady,Legendary Creature — Boar Rhino Mutant,3,"Boar, Rhino, Mutant",tmt,rare,https://scryfall.com/card/tmt/140/bebop-&-rocksteady?utm_source=api
"Bebop, Warthog Warrior","Bebop, Warthog Warrior",Legendary Creature — Boar Mutant Warrior,3,"Boar, Mutant, Warrior",tmt,common,https://scryfall.com/card/tmt/59/bebop-warthog-warrior?utm_source=api
"Beetle, Legacy Criminal","Beetle, Legacy Criminal",Legendary Creature — Human Rogue Villain,3,"Human, Rogue, Villain",spm,common,https://scryfall.com/card/spm/26/beetle-legacy-criminal?utm_source=api
Beetleform Mage,Beetleform Mage,Creature — Human Insect Wizard,3,"Human, Insect, Wizard",dgm,common,https://scryfall.com/card/dgm/54/beetleform-mage?utm_source=api
"Belbe, Corrupted Observer","Belbe, Corrupted Observer",Legendary Creature — Phyrexian Zombie Elf,3,"Phyrexian, Zombie, Elf",cmr,rare,https://scryfall.com/card/cmr/270/belbe-corrupted-observer?utm_source=api
Benalish Sleeper,Benalish Sleeper,Creature — Phyrexian Human Soldier,3,"Phyrexian, Human, Soldier",dmu,common,https://scryfall.com/card/dmu/8/benalish-sleeper?utm_source=api
Benthic Biomancer,Benthic Biomancer,Creature — Merfolk Wizard Mutant,3,"Merfolk, Wizard, Mutant",lcc,rare,https://scryfall.com/card/lcc/145/benthic-biomancer?utm_source=api
Big Game Hunter,Big Game Hunter,Creature — Human Rebel Assassin,3,"Human, Rebel, Assassin",tsr,uncommon,https://scryfall.com/card/tsr/102/big-game-hunter?utm_source=api
Big Winner,Big Winner,Creature — Ogre Warrior Guest,3,"Ogre, Warrior, Guest",unf,common,https://scryfall.com/card/unf/101/big-winner?utm_source=api
Biophagus,Biophagus,Creature — Human Tyranid Wizard,3,"Human, Tyranid, Wizard",40k,rare,https://scryfall.com/card/40k/87/biophagus?utm_source=api
Birchlore Rangers,Birchlore Rangers,Creature — Elf Druid Ranger,3,"Elf, Druid, Ranger",ons,common,https://scryfall.com/card/ons/248/birchlore-rangers?utm_source=api
Bird Admirer // Wing Shredder,Bird Admirer,Creature — Human Archer Werewolf,3,"Human, Archer, Werewolf",mid,common,https://scryfall.com/card/mid/169/bird-admirer-wing-shredder?utm_source=api
"Black Bolt, Inhuman King","Black Bolt, Inhuman King",Legendary Creature — Inhuman Noble Hero,3,"Inhuman, Noble, Hero",msc,rare,https://scryfall.com/card/msc/76/black-bolt-inhuman-king?utm_source=api
"Black Cat, Cunning Thief","Black Cat, Cunning Thief",Legendary Creature — Human Rogue Villain,3,"Human, Rogue, Villain",spm,rare,https://scryfall.com/card/spm/52/black-cat-cunning-thief?utm_source=api
"Black Panther, Claws of Bast","Black Panther, Claws of Bast",Legendary Creature — Human Warrior Hero,3,"Human, Warrior, Hero",msc,mythic,https://scryfall.com/card/msc/829/black-panther-claws-of-bast?utm_source=api
"Black Panther, Most Dangerous","Black Panther, Most Dangerous",Legendary Creature — Human Warrior Hero,3,"Human, Warrior, Hero",msc,rare,https://scryfall.com/card/msc/584/black-panther-most-dangerous?utm_source=api
"Black Panther, Vanguard","Black Panther, Vanguard",Legendary Creature — Human Warrior Hero,3,"Human, Warrior, Hero",msh,uncommon,https://scryfall.com/card/msh/207/black-panther-vanguard?utm_source=api
"Black Panther, Wakandan King","Black Panther, Wakandan King",Legendary Creature — Human Noble Hero,3,"Human, Noble, Hero",mar,mythic,https://scryfall.com/card/mar/87/black-panther-wakandan-king?utm_source=api
"Black Widow, Agile Avenger","Black Widow, Agile Avenger",Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msc,rare,https://scryfall.com/card/msc/77/black-widow-agile-avenger?utm_source=api
"Black Widow, Daring Operative","Black Widow, Daring Operative",Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msc,mythic,https://scryfall.com/card/msc/831/black-widow-daring-operative?utm_source=api
"Black Widow, Deadly Hunter","Black Widow, Deadly Hunter",Legendary Creature — Human Assassin Hero,3,"Human, Assassin, Hero",msc,rare,https://scryfall.com/card/msc/648/black-widow-deadly-hunter?utm_source=api
"Black Widow, Double Agent","Black Widow, Double Agent",Legendary Creature — Human Hero Villain,3,"Human, Hero, Villain",msh,uncommon,https://scryfall.com/card/msh/208/black-widow-double-agent?utm_source=api
"Black Widow, Intel Expert","Black Widow, Intel Expert",Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msc,rare,https://scryfall.com/card/msc/504/black-widow-intel-expert?utm_source=api
"Black Widow, Natasha Romanoff","Black Widow, Natasha Romanoff",Legendary Creature — Human Assassin Hero,3,"Human, Assassin, Hero",msc,common,https://scryfall.com/card/msc/846/black-widow-natasha-romanoff?utm_source=api
"Black Widow, Super Spy","Black Widow, Super Spy",Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msh,mythic,https://scryfall.com/card/msh/89/black-widow-super-spy?utm_source=api
Blackcleave Goblin,Blackcleave Goblin,Creature — Phyrexian Goblin Zombie,3,"Phyrexian, Goblin, Zombie",som,common,https://scryfall.com/card/som/54/blackcleave-goblin?utm_source=api
Blade Splicer,Blade Splicer,Creature — Phyrexian Human Artificer,3,"Phyrexian, Human, Artificer",moc,rare,https://scryfall.com/card/moc/175/blade-splicer?utm_source=api
Blighted Agent,Blighted Agent,Creature — Phyrexian Human Rogue,3,"Phyrexian, Human, Rogue",nph,common,https://scryfall.com/card/nph/29/blighted-agent?utm_source=api
Blighted Shaman,Blighted Shaman,Creature — Human Cleric Shaman,3,"Human, Cleric, Shaman",6ed,uncommon,https://scryfall.com/card/6ed/114/blighted-shaman?utm_source=api
